scientificName,vernacularName,class,order,family,eventDate
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,1/01/1900
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
Sus scrofa,Pig,Mammalia,Artiodactyla,Suidae,5/09/1994
